,AAPL,AAPL,AAPL,AAPL,AAPL
,open,high,low,close,volume
time,,,,,
2020-08-10 00:00:00-04:00,449.75,452.98,440.0,450.94,40068874
2020-08-11 00:00:00-04:00,447.875,449.93,436.4267,437.51,42368444
2020-08-12 00:00:00-04:00,441.99,453.1,441.19,452.24,38649102
2020-08-13 00:00:00-04:00,457.72,464.17,455.71,460.03,48059064
2020-08-14 00:00:00-04:00,459.315,460.0,452.18,459.78,38149232
2020-08-17 00:00:00-04:00,464.25,464.35,455.8501,458.39,25935894
2020-08-18 00:00:00-04:00,457.41,464.0,456.03,462.08,24276411
2020-08-19 00:00:00-04:00,463.933,468.65,462.44,462.825,33874948
2020-08-20 00:00:00-04:00,463.0,473.568,462.9335,472.83,29389880
2020-08-21 00:00:00-04:00,477.05,499.472,477.0,497.4,79453112
2020-08-24 00:00:00-04:00,514.79,515.14,495.745,503.79,81260572
2020-08-25 00:00:00-04:00,498.79,500.7172,492.21,499.31,49337045
2020-08-26 00:00:00-04:00,504.7165,507.97,500.33,506.19,37949023
2020-08-27 00:00:00-04:00,508.57,509.94,495.33,500.04,36378278
2020-08-28 00:00:00-04:00,504.05,505.77,498.31,498.83,38207206
2020-08-31 00:00:00-04:00,127.58,131.0,126.0,128.85,199136542
2020-09-01 00:00:00-04:00,132.76,134.8,130.53,134.2,138233208
2020-09-02 00:00:00-04:00,137.59,137.98,127.0,131.22,184800962
2020-09-03 00:00:00-04:00,126.91,128.84,120.5,120.92,227958928
2020-09-04 00:00:00-04:00,120.07,123.7,110.89,120.9,308317528
2020-09-08 00:00:00-04:00,113.95,118.99,112.68,112.83,207475295
2020-09-09 00:00:00-04:00,117.26,119.14,115.26,117.18,154399690
2020-09-10 00:00:00-04:00,119.5,120.05,112.5,113.48,141520456
2020-09-11 00:00:00-04:00,114.57,115.23,110.0,112.01,168935205
2020-09-14 00:00:00-04:00,114.72,115.93,112.8,115.3599,123728990
