,GOOG,GOOG,GOOG,GOOG,GOOG
,open,high,low,close,volume
time,,,,,
2019-01-02 00:00:00-05:00,1016.57,1052.32,1015.71,1044.61,1184257
2019-01-03 00:00:00-05:00,1041.0,1056.98,1014.08,1017.7,1381117
2019-01-04 00:00:00-05:00,1033.0,1070.3,1027.4178,1068.36,1629932
2019-01-07 00:00:00-05:00,1071.5,1073.9999,1054.76,1068.0,1599905
2019-01-08 00:00:00-05:00,1076.11,1084.56,1060.53,1076.12,1301107
2019-01-09 00:00:00-05:00,1081.65,1082.63,1066.4,1075.66,999356
2019-01-10 00:00:00-05:00,1067.66,1071.15,1057.71,1069.86,1064156
2019-01-11 00:00:00-05:00,1063.18,1063.775,1048.48,1055.54,1268747
2019-01-14 00:00:00-05:00,1046.92,1051.53,1041.255,1045.1138,921380
2019-01-15 00:00:00-05:00,1050.17,1080.05,1047.34,1076.51,1202408
2019-01-16 00:00:00-05:00,1079.49,1092.375,1079.49,1079.71,1070953
2019-01-17 00:00:00-05:00,1079.47,1091.505,1073.5,1088.82,795681
2019-01-18 00:00:00-05:00,1100.0,1108.352,1090.9,1096.66,1689150
2019-01-22 00:00:00-05:00,1088.0,1091.51,1063.47,1066.92,1069654
2019-01-23 00:00:00-05:00,1078.87,1084.93,1059.75,1074.12,846791
2019-01-24 00:00:00-05:00,1076.08,1079.475,1060.7,1074.69,871713
2019-01-25 00:00:00-05:00,1085.0,1094.0,1081.82,1089.65,899649
2019-01-28 00:00:00-05:00,1080.11,1083.0,1063.8,1069.56,1049405
2019-01-29 00:00:00-05:00,1073.38,1075.15,1055.8647,1060.545,795207
2019-01-30 00:00:00-05:00,1067.73,1091.0,1066.85,1089.35,1026593
2019-01-31 00:00:00-05:00,1103.0,1117.33,1095.41,1115.7,1226864
2019-02-01 00:00:00-05:00,1112.4,1125.0,1104.89,1110.37,1103558
2019-02-04 00:00:00-05:00,1112.66,1132.28,1109.02,1131.1,1785363
