,GOOG,GOOG,GOOG,GOOG,GOOG
,open,high,low,close,volume
time,,,,,
2020-09-01 09:30:00-04:00,1636.63,1636.74,1632.63,1636.74,2321
2020-09-01 09:31:00-04:00,1635.82,1635.82,1635.81,1635.81,371
2020-09-01 09:32:00-04:00,1636.36,1636.36,1634.89,1635.33,2236
2020-09-01 09:33:00-04:00,1636.33,1637.27,1636.17,1636.65,758
2020-09-01 09:34:00-04:00,1634.12,1634.12,1634.12,1634.12,171
2020-09-01 09:35:00-04:00,1638.35,1638.69,1638.35,1638.69,469
2020-09-01 09:36:00-04:00,1638.35,1638.35,1637.56,1637.56,888
2020-09-01 09:39:00-04:00,1640.1,1641.19,1640.1,1641.19,531
2020-09-01 09:41:00-04:00,1636.98,1637.555,1636.36,1636.36,974
2020-09-01 09:43:00-04:00,1637.035,1638.02,1636.325,1636.325,674
2020-09-01 09:44:00-04:00,1636.005,1636.005,1635.785,1635.97,600
2020-09-01 09:45:00-04:00,1637.21,1638.06,1637.21,1638.06,541
2020-09-01 09:47:00-04:00,1638.59,1638.59,1638.59,1638.59,101
2020-09-01 09:49:00-04:00,1639.37,1639.37,1639.37,1639.37,107
2020-09-01 09:52:00-04:00,1642.58,1642.58,1642.58,1642.58,105
2020-09-01 09:53:00-04:00,1642.59,1642.59,1642.38,1642.38,1919
2020-09-01 09:54:00-04:00,1642.38,1642.38,1642.38,1642.38,314
2020-09-01 09:57:00-04:00,1637.76,1637.76,1636.99,1636.99,528
2020-09-01 09:58:00-04:00,1637.49,1637.49,1637.49,1637.49,105
2020-09-01 09:59:00-04:00,1638.17,1638.17,1638.17,1638.17,105
2020-09-01 10:00:00-04:00,1642.55,1644.44,1642.55,1644.44,744
2020-09-01 10:01:00-04:00,1643.59,1643.59,1643.59,1643.59,848
2020-09-01 10:02:00-04:00,1642.195,1642.485,1642.195,1642.485,204
2020-09-01 10:04:00-04:00,1641.76,1641.76,1641.76,1641.76,417
