,MSFT,MSFT,MSFT,MSFT,MSFT
,open,high,low,close,volume
time,,,,,
2020-09-01 00:00:00-04:00,225.51,227.45,224.43,227.32,21619677
2020-09-02 00:00:00-04:00,227.97,232.86,227.35,231.46,29757321
2020-09-03 00:00:00-04:00,229.27,229.31,214.9602,217.3,49536774
2020-09-04 00:00:00-04:00,215.1,218.3599,205.19,214.14,52667088
2020-09-08 00:00:00-04:00,206.5,210.03,202.2,202.65,45494926
2020-09-09 00:00:00-04:00,207.6,214.8399,206.7,211.18,38564566
2020-09-10 00:00:00-04:00,211.3,213.2,204.11,205.38,26201459
2020-09-11 00:00:00-04:00,207.2,208.63,201.24,204.04,28972254
2020-09-14 00:00:00-04:00,204.24,209.2,204.03,205.3,24421552
2020-09-15 00:00:00-04:00,208.42,209.78,206.93,208.85,17265650
2020-09-16 00:00:00-04:00,210.62,210.65,204.64,204.94,22190641
2020-09-17 00:00:00-04:00,200.05,204.33,199.96,202.96,28217200
2020-09-18 00:00:00-04:00,202.8,203.65,196.25,200.45,42598816
2020-09-21 00:00:00-04:00,197.19,202.71,196.38,202.64,33789607
2020-09-22 00:00:00-04:00,205.06,208.1,202.075,207.38,29278624
2020-09-23 00:00:00-04:00,207.9,208.1,200.03,200.59,25085940
2020-09-24 00:00:00-04:00,199.85,205.57,199.2,203.18,27541419
2020-09-25 00:00:00-04:00,203.55,209.04,202.54,207.77,25019068
2020-09-28 00:00:00-04:00,210.95,212.57,208.06,209.61,25144753
2020-09-29 00:00:00-04:00,209.35,210.07,206.81,207.16,19523789
2020-09-30 00:00:00-04:00,207.73,211.97,206.54,210.32,23047500
2020-10-01 00:00:00-04:00,213.41,213.99,211.34,212.46,19296303
2020-10-02 00:00:00-04:00,208.01,210.99,205.54,206.18,24854853
2020-10-05 00:00:00-04:00,207.25,210.41,206.98,210.37,16408956
2020-10-06 00:00:00-04:00,208.82,210.18,204.82,205.91,21775105
2020-10-07 00:00:00-04:00,207.06,210.0,206.72,209.81,18882800
2020-10-08 00:00:00-04:00,210.51,211.19,208.32,210.63,16683777
2020-10-09 00:00:00-04:00,211.475,215.86,211.25,215.81,21433543
2020-10-12 00:00:00-04:00,218.79,223.86,216.81,221.41,32788186
2020-10-13 00:00:00-04:00,222.46,225.21,220.43,222.83,21752820
2020-10-14 00:00:00-04:00,223.03,224.22,219.13,220.93,18327083
2020-10-15 00:00:00-04:00,216.95,220.36,216.01,219.66,17474580
2020-10-16 00:00:00-04:00,220.5,222.29,219.32,219.65,20421873
2020-10-19 00:00:00-04:00,220.415,222.3,213.72,214.24,20264895
2020-10-20 00:00:00-04:00,215.8,217.35,213.0901,214.56,17716951
2020-10-21 00:00:00-04:00,213.12,216.92,213.12,214.785,14988924
2020-10-22 00:00:00-04:00,213.93,216.055,211.7,214.84,17532812
2020-10-23 00:00:00-04:00,215.18,216.28,213.16,216.26,14929172
2020-10-26 00:00:00-04:00,213.85,216.3399,208.1,210.15,29374749
2020-10-27 00:00:00-04:00,211.59,214.67,210.329,213.15,25831216
2020-10-28 00:00:00-04:00,207.67,208.84,202.1,202.71,41576211
2020-10-29 00:00:00-04:00,203.96,207.36,203.37,204.39,25237813
2020-10-30 00:00:00-04:00,203.5,204.29,199.62,202.58,27625644
2020-11-02 00:00:00-05:00,204.2735,205.28,200.13,202.32,23032873
2020-11-03 00:00:00-05:00,203.89,208.12,203.12,206.12,21783493
2020-11-04 00:00:00-05:00,214.02,218.32,212.4185,216.32,33010015
