,TSLA,TSLA,TSLA,TSLA,TSLA
,open,high,low,close,volume
time,,,,,
2020-09-01 00:00:00-04:00,502.14,502.49,470.51,475.04,81257715
2020-09-02 00:00:00-04:00,478.99,479.04,405.1206,447.245,92367647
2020-09-03 00:00:00-04:00,407.23,431.8,402.0,407.0,80478522
2020-09-04 00:00:00-04:00,402.81,428.0,372.0201,417.9307,101195492
2020-09-08 00:00:00-04:00,356.0,368.74,329.88,330.02,103446741
2020-09-09 00:00:00-04:00,356.6,369.0,341.51,366.21,73161075
2020-09-10 00:00:00-04:00,382.4,398.99,360.56,370.5,69988917
2020-09-11 00:00:00-04:00,381.94,382.5,360.5,372.4101,58016059
2020-09-14 00:00:00-04:00,380.95,420.0,373.3,419.765,78741916
2020-09-15 00:00:00-04:00,436.56,461.94,430.7,449.38,93194161
2020-09-16 00:00:00-04:00,439.87,457.79,435.31,441.76,68279651
2020-09-17 00:00:00-04:00,415.6,437.79,408.0001,423.43,72114062
2020-09-18 00:00:00-04:00,447.94,451.0,428.8,440.9701,79958470
2020-09-21 00:00:00-04:00,453.13,455.68,407.07,449.41,100472833
2020-09-22 00:00:00-04:00,429.6,437.76,417.6001,423.974,66119366
2020-09-23 00:00:00-04:00,405.16,412.15,375.8801,380.3885,88358954
2020-09-24 00:00:00-04:00,363.8,399.5,351.3,387.63,93527446
2020-09-25 00:00:00-04:00,393.47,408.7323,391.3,407.18,64600754
2020-09-28 00:00:00-04:00,424.62,428.08,415.55,421.0602,46468845
2020-09-29 00:00:00-04:00,416.0,428.5,411.6,418.99,47891547
2020-09-30 00:00:00-04:00,421.32,433.93,420.47,428.97,45355318
2020-10-01 00:00:00-04:00,440.76,448.88,434.42,447.81,46783928
2020-10-02 00:00:00-04:00,421.39,439.13,415.0,415.2699,63810817
2020-10-05 00:00:00-04:00,423.35,433.64,419.33,425.5,42042374
2020-10-06 00:00:00-04:00,423.79,428.7799,406.05,413.7001,46076914
2020-10-07 00:00:00-04:00,419.87,429.9,413.845,425.19,40832057
2020-10-08 00:00:00-04:00,438.44,439.0,425.3,425.92,38141608
2020-10-09 00:00:00-04:00,430.13,434.5899,426.4601,433.96,27687361
2020-10-12 00:00:00-04:00,442.0,448.74,438.58,442.0,36564876
2020-10-13 00:00:00-04:00,442.2687,448.89,436.6,446.65,31940408
2020-10-14 00:00:00-04:00,449.78,465.9,447.35,461.47,45105903
2020-10-15 00:00:00-04:00,450.3,456.57,442.5,448.88,33240296
2020-10-16 00:00:00-04:00,454.48,455.9499,438.85,439.91,30682837
2020-10-19 00:00:00-04:00,446.24,447.0,428.87,430.83,33337408
2020-10-20 00:00:00-04:00,431.75,431.75,419.0501,421.97,29334383
2020-10-21 00:00:00-04:00,422.7,432.54,421.25,422.5,19708623
2020-10-22 00:00:00-04:00,442.07,445.23,424.51,425.9,36698832
2020-10-23 00:00:00-04:00,421.84,422.8859,407.3801,420.615,32152305
2020-10-26 00:00:00-04:00,411.63,425.76,410.0,420.28,26973706
2020-10-27 00:00:00-04:00,423.76,430.5,420.1,424.471,21007688
2020-10-28 00:00:00-04:00,416.48,418.6,406.0,406.0,23252693
2020-10-29 00:00:00-04:00,409.96,418.06,406.46,410.64,20826471
2020-10-30 00:00:00-04:00,406.8954,407.5915,379.11,388.04,40305209
2020-11-02 00:00:00-05:00,394.0,406.9799,392.3,400.51,26759798
2020-11-03 00:00:00-05:00,409.73,427.77,406.69,423.74,32428696
2020-11-04 00:00:00-05:00,430.62,435.4,417.1,420.91,29547113
