,T,T,T,T,T
,open,high,low,close,volume
time,,,,,
2020-10-01 00:00:00-04:00,28.52,28.64,28.34,28.475,46504443
2020-10-02 00:00:00-04:00,28.27,28.89,28.21,28.69,50009131
2020-10-05 00:00:00-04:00,28.49,28.75,28.36,28.665,59478023
2020-10-06 00:00:00-04:00,28.745,29.16,28.66,28.7,67793781
2020-10-07 00:00:00-04:00,28.92,28.975,28.69,28.79,68243577
2020-10-08 00:00:00-04:00,28.32,28.63,28.24,28.61,57142614
2020-10-09 00:00:00-04:00,28.63,28.69,28.23,28.319,57594730
2020-10-12 00:00:00-04:00,28.3,28.3,28.01,28.13,95156197
2020-10-13 00:00:00-04:00,28.01,28.13,27.68,27.741,96872320
2020-10-14 00:00:00-04:00,27.71,27.95,27.48,27.49,87635188
2020-10-15 00:00:00-04:00,27.31,27.45,27.11,27.45,54380270
2020-10-16 00:00:00-04:00,27.48,27.57,27.32,27.34,56391821
2020-10-19 00:00:00-04:00,27.435,27.47,26.82,26.89,86046904
2020-10-20 00:00:00-04:00,26.99,27.12,26.66,26.775,74172839
2020-10-21 00:00:00-04:00,26.77,26.92,26.54,26.7201,79557858
2020-10-22 00:00:00-04:00,27.83,28.5,27.7,28.29,152046782
2020-10-23 00:00:00-04:00,28.35,28.41,27.75,27.82,72883314
2020-10-26 00:00:00-04:00,27.63,27.65,27.09,27.3701,72424115
2020-10-27 00:00:00-04:00,27.24,27.27,26.9,26.92,63305299
2020-10-28 00:00:00-04:00,26.695,26.88,26.45,26.51,83857078
2020-10-29 00:00:00-04:00,26.5,27.05,26.35,26.76,78528741
2020-10-30 00:00:00-04:00,26.74,27.04,26.69,27.03,70111957
