,XBI,XBI,XBI,XBI,XBI
,open,high,low,close,volume
time,,,,,
2020-09-30 00:00:00-04:00,111.72,113.23,110.46,111.37,3083969
2020-10-01 00:00:00-04:00,111.96,112.94,111.1,112.94,3572346
2020-10-02 00:00:00-04:00,111.08,113.06,109.82,110.28,3699422
2020-10-05 00:00:00-04:00,111.91,116.02,111.91,115.86,4276211
2020-10-06 00:00:00-04:00,116.02,117.32,114.44,114.89,3224751
2020-10-07 00:00:00-04:00,116.05,119.1098,115.77,118.58,3680850
2020-10-08 00:00:00-04:00,119.95,119.95,118.17,119.06,2652520
2020-10-09 00:00:00-04:00,119.6,120.51,118.87,120.32,2461213
2020-10-12 00:00:00-04:00,121.31,121.41,119.8,120.49,1931063
2020-10-13 00:00:00-04:00,120.17,122.82,120.08,122.23,1920958
2020-10-14 00:00:00-04:00,122.45,122.78,119.75,119.8699,2849139
2020-10-15 00:00:00-04:00,118.52,120.49,117.59,120.17,2927614
2020-10-16 00:00:00-04:00,120.73,122.32,120.16,120.67,3047772
2020-10-19 00:00:00-04:00,121.44,121.68,117.87,118.28,2553422
2020-10-20 00:00:00-04:00,119.06,119.21,116.22,116.73,3018858
2020-10-21 00:00:00-04:00,116.55,117.25,113.84,113.95,2424369
2020-10-22 00:00:00-04:00,114.3,117.32,114.3,117.12,3546119
2020-10-23 00:00:00-04:00,117.55,117.83,116.1,117.57,1896780
2020-10-26 00:00:00-04:00,116.34,117.865,114.22,116.06,2623730
2020-10-27 00:00:00-04:00,116.24,117.98,115.36,117.47,2151347
2020-10-28 00:00:00-04:00,115.43,115.59,113.45,114.16,3976762
2020-10-29 00:00:00-04:00,114.07,116.03,112.7,115.21,3661322
2020-10-30 00:00:00-04:00,114.29,115.22,111.54,112.78,5281221
